Date,Price,Open,High,Low,Vol.,Change
08-02-2013,3507.38,3483.61,3510.15,3483.61,-,0.69
11-02-2013,3497.03,3507.38,3508.82,3492.29,-,-0.3
12-02-2013,3500.73,3497.03,3506.87,3493.26,-,0.11
13-02-2013,3495.68,3505.02,3519.05,3485.86,-,-0.14
14-02-2013,3494.2,3495.53,3505.17,3467.07,-,-0.04
15-02-2013,3484.38,3494.2,3536.62,3456.05,-,-0.28
19-02-2013,3545.92,3484.57,3554.88,3484.57,-,1.77
20-02-2013,3484.09,3545.92,3551.32,3481.42,-,-1.74
21-02-2013,3469.74,3484.09,3508.35,3456.26,-,-0.41
22-02-2013,3472.53,3470.45,3486.84,3446.88,-,0.08
25-02-2013,3400.81,3481.05,3482.87,3400.8,-,-2.07
26-02-2013,3412.81,3400.81,3433.54,3378.61,-,0.35
27-02-2013,3468.78,3412.81,3481.58,3412.81,-,1.64
28-02-2013,3464.37,3468.78,3488.9,3449.55,-,-0.13
01-03-2013,3477.35,3464.37,3477.4,3438.65,-,0.37
04-03-2013,3502.16,3477.35,3505.49,3469.96,-,0.71
05-03-2013,3544.15,3502.16,3547.5,3502.16,-,1.2
06-03-2013,3528.87,3544.15,3551.24,3522.46,-,-0.43
07-03-2013,3551.03,3528.87,3556.77,3518.31,-,0.63
08-03-2013,3582.24,3551.9,3584.89,3547.83,-,0.88
11-03-2013,3578.6,3582.24,3583.86,3560.73,-,-0.1
12-03-2013,3570.42,3577.59,3587.94,3564.55,-,-0.23
13-03-2013,3618.36,3570.76,3620.66,3570.76,-,1.34
14-03-2013,3641.09,3618.36,3648.1,3618.36,-,0.63
15-03-2013,3630.57,3641.09,3643.64,3613.98,-,-0.29
18-03-2013,3614.4,3630.19,3630.19,3599.24,-,-0.45
19-03-2013,3575.92,3614.43,3622.58,3546.05,-,-1.06
20-03-2013,3630.9,3577.55,3635.92,3577.55,-,1.54
21-03-2013,3597.38,3630.16,3630.16,3576.53,-,-0.92
22-03-2013,3624.04,3597.38,3631.62,3597.38,-,0.74
25-03-2013,3622.39,3624.13,3649.45,3606.8,-,-0.05
26-03-2013,3623.87,3622.39,3631.32,3606.09,-,0.04
27-03-2013,3618.91,3622.45,3622.45,3593.18,-,-0.14
28-03-2013,3628.4,3618.77,3633.11,3614.49,-,0.26
01-04-2013,3591.88,3628.4,3634.5,3586.87,-,-1.01
02-04-2013,3601.24,3591.88,3621.39,3591.88,-,0.26
03-04-2013,3560.12,3601.24,3612.74,3547.29,-,-1.14
04-04-2013,3617.71,3562.03,3618.23,3560.13,-,1.62
05-04-2013,3616.35,3617.71,3617.71,3558.52,-,-0.04
08-04-2013,3645.26,3616.35,3645.28,3604.38,-,0.8
09-04-2013,3625.81,3645.26,3647.25,3617.69,-,-0.53
10-04-2013,3686.84,3626.21,3688.34,3626.21,-,1.68
11-04-2013,3762.04,3686.74,3782.93,3686.74,-,2.04
12-04-2013,3763.93,3751.69,3769.16,3733.07,-,0.05
15-04-2013,3644.31,3763.71,3763.71,3635.54,-,-3.18
16-04-2013,3682.04,3644.31,3684.32,3644.31,-,1.04
17-04-2013,3627.84,3682.04,3682.04,3599.23,-,-1.47
18-04-2013,3592.59,3627.98,3641.64,3577.94,-,-0.97
19-04-2013,3634.06,3592.81,3638.08,3589.63,-,1.15
22-04-2013,3646.56,3634.06,3655.55,3602.39,-,0.34
23-04-2013,3691.73,3646.56,3694.99,3646.56,-,1.24
24-04-2013,3719.27,3691.72,3719.34,3681.17,-,0.75
25-04-2013,3780.42,3720.36,3800.24,3720.36,-,1.64
26-04-2013,3764.78,3780.42,3780.42,3751.79,-,-0.41
29-04-2013,3766.24,3765.33,3784.67,3759.49,-,0.04
30-04-2013,3787.99,3766.23,3789.01,3763.49,-,0.58
01-05-2013,3737.87,3787.34,3789.31,3736.6,-,-1.32
02-05-2013,3783.89,3738.06,3785.25,3738.06,-,1.23
03-05-2013,3845.16,3783.89,3861.62,3783.89,-,1.62
06-05-2013,3841.5,3845.01,3853.69,3831.56,-,-0.1
07-05-2013,3879.24,3847.13,3879.42,3829.29,-,0.98
08-05-2013,3886.49,3878.9,3894.28,3868.02,-,0.19
09-05-2013,3886.52,3886.49,3911.95,3878.17,-,0
10-05-2013,3941.39,3889.06,3941.42,3889.06,-,1.41
13-05-2013,3928.25,3934.37,3946.39,3917.23,-,-0.33
14-05-2013,3986.72,3930.17,3988.99,3930.14,-,1.49
15-05-2013,4009.99,3983.93,4023.26,3982.19,-,0.58
16-05-2013,3966.07,4007.12,4015.01,3948.59,-,-1.1
17-05-2013,4010.11,3974.72,4017.53,3967,-,1.11
20-05-2013,4028.64,4004.7,4041.05,4000.33,-,0.46
21-05-2013,4057.83,4031.16,4069.41,4031.16,-,0.72
22-05-2013,4018.82,4058,4100.7,4000.85,-,-0.96
23-05-2013,4036.5,4007.59,4041.3,3996.38,-,0.44
24-05-2013,4000.96,4012.4,4012.4,3971.5,-,-0.88
28-05-2013,4025.58,4016.68,4064.94,4009.46,-,0.62
29-05-2013,3996.56,4014.99,4016.14,3976.89,-,-0.72
30-05-2013,4009.5,4002.53,4032.77,3998.97,-,0.32
31-05-2013,3999.33,4001.71,4050.5,3999.3,-,-0.25
03-06-2013,4006.08,4001.38,4006.54,3955.55,-,0.17
04-06-2013,3989.9,4003.81,4025.5,3958.47,-,-0.4
05-06-2013,3946.29,3983.74,4002.34,3942.94,-,-1.09
06-06-2013,3972.98,3951.25,3973,3913.8,-,0.68
07-06-2013,4036.64,3985.08,4041.5,3985.08,-,1.6
10-06-2013,4046.3,4043.29,4060.1,4034.42,-,0.24
11-06-2013,4004.09,4027.62,4038.32,3994.17,-,-1.04
12-06-2013,3955.37,4023.25,4033.52,3952.22,-,-1.22
13-06-2013,4021.51,3957.9,4024.52,3957.9,-,1.67
14-06-2013,3997.38,4018.19,4042.23,3990.23,-,-0.6
17-06-2013,4021.19,4016.48,4039.76,3998.49,-,0.6
18-06-2013,4057.02,4023.74,4057.54,4021.6,-,0.89
19-06-2013,4010.55,4055.46,4059.11,4010.05,-,-1.15
20-06-2013,3907.21,3990.61,3990.61,3897.95,-,-2.58
21-06-2013,3899.24,3912.86,3936.88,3865.61,-,-0.2
24-06-2013,3852.56,3878.84,3886.49,3815.92,-,-1.2
25-06-2013,3891.07,3871.22,3902.03,3862.57,-,1
26-06-2013,3916.37,3913.38,3931.66,3898.41,-,0.65
27-06-2013,3956.19,3928.4,3963.7,3928.4,-,1.02
28-06-2013,3954.08,3949.18,3976.32,3945.78,-,-0.05
01-07-2013,3994.52,3968.1,4017.88,3968.1,-,1.02
02-07-2013,4000.29,3994.52,4027.38,3978.66,-,0.14
03-07-2013,4008.22,3988.27,4015.42,3980.88,-,0.2
05-07-2013,4060.34,4030.26,4060.37,3990.59,-,1.3
08-07-2013,4110.96,4060.34,4114.45,4060.34,-,1.25
09-07-2013,4145.05,4110.96,4151.57,4110.96,-,0.83
10-07-2013,4151.57,4143.5,4154.55,4130.89,-,0.16
11-07-2013,4184.9,4170.05,4191.79,4168.62,-,0.8
12-07-2013,4176.28,4182.32,4186.04,4167.72,-,-0.21
15-07-2013,4195.43,4177.79,4196.62,4168.73,-,0.46
16-07-2013,4166.61,4196.65,4199.99,4154.53,-,-0.69
17-07-2013,4165.19,4173.55,4179.18,4155.9,-,-0.03
18-07-2013,4191.61,4169.29,4210.15,4169.29,-,0.63
19-07-2013,4175.92,4191.26,4191.26,4160.85,-,-0.37
22-07-2013,4183.87,4180.24,4189.92,4167.06,-,0.19
23-07-2013,4175.93,4187.61,4204.58,4170.56,-,-0.19
24-07-2013,4149.82,4182.69,4193.93,4138.25,-,-0.63
25-07-2013,4200.33,4149.85,4200.68,4149.85,-,1.22
26-07-2013,4198.55,4175.68,4198.56,4153.97,-,-0.04
29-07-2013,4191.46,4189.42,4201.78,4176.17,-,-0.17
30-07-2013,4208.78,4200.25,4213.17,4188.48,-,0.41
31-07-2013,4220.25,4214.67,4252.91,4214.67,-,0.27
01-08-2013,4284.93,4233.35,4289.21,4233.35,-,1.53
02-08-2013,4290.77,4279.27,4291.03,4260.73,-,0.14
05-08-2013,4289.59,4286.58,4299.44,4277.6,-,-0.03
06-08-2013,4232.71,4282.02,4282.02,4192.63,-,-1.33
07-08-2013,4172.19,4222.95,4222.95,4164.2,-,-1.43
08-08-2013,4213.51,4185.89,4224.98,4185.89,-,0.99
09-08-2013,4204.18,4213.15,4219.42,4180.08,-,-0.22
12-08-2013,4227.1,4195.07,4228.86,4174.74,-,0.55
13-08-2013,4246.13,4230.42,4249.42,4203.68,-,0.45
14-08-2013,4216.05,4239.53,4243.17,4214.68,-,-0.71
15-08-2013,4131.98,4191.83,4191.83,4129.91,-,-1.99
16-08-2013,4097.93,4120.63,4141.87,4097.93,-,-0.82
19-08-2013,4074.5,4095.06,4123.04,4074.34,-,-0.57
20-08-2013,4138.18,4085.59,4145.73,4085.59,-,1.56
21-08-2013,4081.33,4123.99,4123.99,4059.44,-,-1.37
22-08-2013,4086.68,4085.86,4097.78,4064.59,-,0.13
23-08-2013,4075.4,4086.58,4094.42,4044.88,-,-0.28
26-08-2013,4074.45,4077.65,4106.78,4067.88,-,-0.02
27-08-2013,3993.79,4053.92,4053.92,3989.5,-,-1.98
28-08-2013,4020.11,3995.93,4035.06,3995.93,-,0.66
29-08-2013,4050.68,4015.78,4060.14,4010.46,-,0.76
30-08-2013,4020.61,4051.97,4053.83,4007.87,-,-0.74
03-09-2013,4030.92,4045.51,4074.2,4011.98,-,0.26
04-09-2013,4062.89,4031.77,4072.67,4023.01,-,0.79
05-09-2013,4084.96,4062.58,4098,4062.58,-,0.54
06-09-2013,4069.26,4093.92,4098.42,4027.96,-,-0.38
09-09-2013,4132.79,4077.22,4135.5,4077.22,-,1.56
10-09-2013,4176.26,4138.57,4176.35,4138.57,-,1.05
11-09-2013,4185.09,4173,4187.74,4163.87,-,0.21
12-09-2013,4146.28,4181.07,4184.85,4139.09,-,-0.93
13-09-2013,4167.85,4160.17,4170.63,4146.09,-,0.52
16-09-2013,4175.27,4186.3,4207.79,4173.47,-,0.18
17-09-2013,4219.14,4176.38,4220.27,4176.38,-,1.05
18-09-2013,4264.23,4218.29,4272.63,4186.82,-,1.07
19-09-2013,4272.31,4271.58,4290.23,4267.37,-,0.19
20-09-2013,4252.6,4275.6,4283.18,4243.83,-,-0.46
23-09-2013,4235.82,4250.79,4250.79,4214.16,-,-0.39
24-09-2013,4250.18,4238.38,4271.9,4222.28,-,0.34
25-09-2013,4231.17,4259.26,4261.78,4218.28,-,-0.45
26-09-2013,4257.71,4236.65,4283.18,4236.65,-,0.63
27-09-2013,4254.35,4245.89,4262.26,4232.83,-,-0.08
30-09-2013,4235.61,4230.98,4249.95,4200.82,-,-0.44
01-10-2013,4283.8,4236.8,4295.64,4236.8,-,1.14
02-10-2013,4286.92,4273.49,4291.08,4238.29,-,0.07
03-10-2013,4244.91,4285.42,4294.92,4230.83,-,-0.98
04-10-2013,4273.97,4243.3,4278.75,4231.69,-,0.68
07-10-2013,4200.08,4258.07,4258.07,4200.08,-,-1.73
08-10-2013,4119.82,4199.58,4202.05,4119.82,-,-1.91
09-10-2013,4119.31,4125.4,4143.51,4087.72,-,-0.01
10-10-2013,4196.57,4144.49,4198.1,4144.49,-,1.88
11-10-2013,4225.32,4190.36,4225.35,4173.87,-,0.69
14-10-2013,4241.54,4213.11,4241.56,4194.31,-,0.38
15-10-2013,4200.77,4235.73,4236.02,4189.83,-,-0.96
16-10-2013,4273,4212.48,4274.23,4212.48,-,1.72
17-10-2013,4292.49,4262.74,4292.51,4249.92,-,0.46
18-10-2013,4330.51,4307.86,4332.86,4297.51,-,0.89
21-10-2013,4327.41,4332.78,4333.1,4310.51,-,-0.07
22-10-2013,4317.67,4337.15,4368.1,4305.87,-,-0.23
23-10-2013,4307.14,4306.52,4312.32,4279.48,-,-0.24
24-10-2013,4332.03,4304.87,4333.94,4285.04,-,0.58
25-10-2013,4339.01,4337.85,4342.91,4317.2,-,0.16
28-10-2013,4339.49,4337.94,4358.79,4327.14,-,0.01
29-10-2013,4373.21,4345.16,4373.69,4341.21,-,0.78
30-10-2013,4341.38,4374.77,4383.42,4318.59,-,-0.73
31-10-2013,4348.89,4347.01,4371.15,4326.74,-,0.17
01-11-2013,4370.4,4352.1,4375.05,4335.53,-,0.49
04-11-2013,4404.98,4376.84,4406.96,4376.84,-,0.79
05-11-2013,4409.63,4395.7,4421.32,4359.66,-,0.11
06-11-2013,4372.62,4418.85,4419.93,4361.82,-,-0.84
07-11-2013,4320.75,4380.2,4400.96,4317.54,-,-1.19
08-11-2013,4384.92,4323.34,4385.08,4323.34,-,1.49
11-11-2013,4428.35,4381.68,4432.07,4378.48,-,0.99
12-11-2013,4452.24,4424.04,4455.62,4422.06,-,0.54
13-11-2013,4513.21,4440.68,4513.42,4437.14,-,1.37
14-11-2013,4519.43,4511.41,4522.88,4482,-,0.14
